"gene_ID"	"pDirectEvidence"	"pIndirectEvidence"	"pCombinedEvidence"
1	0.0360542284316684	NA	0.0360542284316684
2	0.0201768389265286	0.405	0.0474533161586263
9	0.283049950975217	NA	0.283049950975217
10	0.766402567520179	NA	0.766402567520179
12	0.516786998501469	NA	0.516786998501469
13	0.445078182586434	NA	0.445078182586434
14	0.227535708658903	NA	0.227535708658903
15	0.841196420524845	NA	0.841196420524845
16	0.0334723081472584	NA	0.0334723081472584
18	0.00595916983642401	NA	0.00595916983642401
19	0.150741946524985	NA	0.150741946524985
20	0.324467019163448	NA	0.324467019163448
21	0.708923875517156	NA	0.708923875517156
22	0.963570987063246	NA	0.963570987063246
23	0.275659206704447	NA	0.275659206704447
24	0.884333066049408	NA	0.884333066049408
25	0.191350466348642	0.423	0.284430111148506
26	0.80862165384596	NA	0.80862165384596
27	0.272519991674725	0.835	0.564417878780919
28	0.0857401738959355	NA	0.0857401738959355
29	0.729481875490151	NA	0.729481875490151
30	0.0239070003553389	0.25	0.0365769833055972
31	0.088111379753746	0.7185	0.238021919006157
32	0.00354097065781353	0.781	0.0190557600150763
33	0.172065562272571	0.177	0.136790898345395
34	0.0587963958296312	0.25	0.0767288420981374
35	0.0254046160130412	NA	0.0254046160130412
36	0.00178926617527175	NA	0.00178926617527175
37	0.0550696623894595	NA	0.0550696623894595
38	0.0100320580842541	NA	0.0100320580842541
39	0.0333567019927006	NA	0.0333567019927006
40	0.515307058121226	NA	0.515307058121226
41	0.0198847132697275	NA	0.0198847132697275
43	0.443041833801075	NA	0.443041833801075
47	0.134055108038576	NA	0.134055108038576
48	0.00374399968907882	NA	0.00374399968907882
49	0.280987176937564	NA	0.280987176937564
50	0.0637108269282452	NA	0.0637108269282452
51	0.14181986446815	0.093	0.0702769708420265
52	0.00367256164262502	0.7195	0.0183279133411334
53	0.653614293568566	NA	0.653614293568566
54	0.296133745759401	NA	0.296133745759401
55	0.280247092123362	NA	0.280247092123362
56	0.261325070360756	NA	0.261325070360756
58	0.746658760478298	NA	0.746658760478298
59	0.272021687215831	0.9785	0.618482219068787
60	0.1730088869051	0.187	0.143356552775589
70	0.869711226264524	0.2715	0.576948703628288
71	0.000327175124992028	0.187	0.000654746369766388
72	0.443410831789214	0.9785	0.796162193008796
81	0.00144650415675955	0.095	0.00135940431928784
86	0.565614630975706	NA	0.565614630975706
87	0.124080040911343	0.095	0.0641328968309695
88	0.0292372016434702	0.095	0.0191266327609795
89	0.679971524617932	0.095	0.241566929128738
90	0.452999873775036	0.8175	0.738198711354093
91	0.0427626313325559	NA	0.0427626313325559
92	0.247904651142924	NA	0.247904651142924
93	0.133790063849943	NA	0.133790063849943
94	0.0156878126436431	NA	0.0156878126436431
95	0.509837622202947	NA	0.509837622202947
97	0.0382721922025383	NA	0.0382721922025383
98	0.0445128326262466	NA	0.0445128326262466
100	0.0245114262305375	NA	0.0245114262305375
101	0.13039898291431	NA	0.13039898291431
102	0.0734311263766232	0.864	0.238398385445755
103	0.46743303378116	NA	0.46743303378116
104	0.189384515397861	NA	0.189384515397861
105	0.230252737354618	NA	0.230252737354618
107	0.00395363902637089	0.643	0.0177310866100965
108	0.02056882229059	0.786	0.0828527582590173
109	0.128554907735393	0.827	0.344603802973412
111	0.189317564589348	0.786	0.432293510391094
112	0.827161033169921	0.786	0.930072880791885
113	0.423928995448278	0.786	0.699399922522124
114	0.368256062291266	0.552	0.527135560997171
115	0.432064780996197	0.7575	0.692841995435678
116	0.000196367999604835	NA	0.000196367999604835
117	0.0786739651383841	NA	0.0786739651383841
118	0.00253971242111271	NA	0.00253971242111271
119	0.0315279578321502	NA	0.0315279578321502
120	0.0252946712884974	NA	0.0252946712884974
123	0.102405568763922	NA	0.102405568763922
124	0.835147787683575	NA	0.835147787683575
125	0.56381170527285	NA	0.56381170527285
126	0.308451341219933	NA	0.308451341219933
127	0.00460571866434179	NA	0.00460571866434179
128	0.174357937477158	NA	0.174357937477158
130	0.388309983985505	NA	0.388309983985505
131	0.453246865138774	NA	0.453246865138774
132	0.0160168831048037	NA	0.0160168831048037
133	0.713596188999166	NA	0.713596188999166
134	0.0267208843881339	NA	0.0267208843881339
135	0.00415255172677366	0.6445	0.0185289974360401
136	0.10186310236274	0.6445	0.244444466167298
140	0.220231989968704	NA	0.220231989968704
141	0.650659860892637	NA	0.650659860892637
142	0.0464173411671969	NA	0.0464173411671969
143	0.892721598050706	NA	0.892721598050706
146	0.207365561962294	0.517	0.346601782255395
147	0.297954344983543	0.517	0.442182921573408
148	0.0644737987077673	0.517	0.146705288967471
150	0.26626636779265	NA	0.26626636779265
151	0.469011908653002	NA	0.469011908653002
152	0.111462252164398	NA	0.111462252164398
153	0.406352149123125	0.576	0.573955045060218
154	0.458798857762707	0.576	0.615953807558757
155	0.660542906378394	0.576	0.748139026663773
156	0.457956232634101	0.999	0.815253767556892
157	0.0663060002603838	1	0.246225666640049
158	0.0316347731120337	NA	0.0316347731120337
159	0.0227547280781512	NA	0.0227547280781512
160	0.501144104905881	0.589	0.655342292460846
161	0.0895365458265459	0.589	0.207912426891045
162	0.812732211975496	NA	0.812732211975496
163	0.278157684216426	0.589	0.460195162601764
164	0.0655021716846805	NA	0.0655021716846805
165	0.00234492803006603	NA	0.00234492803006603
166	0.723820809984908	NA	0.723820809984908
167	0.966384204913545	NA	0.966384204913545
172	0.182224834723875	NA	0.182224834723875
173	0.421809484750788	NA	0.421809484750788
174	0.515079862395696	NA	0.515079862395696
175	0.138111038221908	NA	0.138111038221908
176	0.316957203171923	NA	0.316957203171923
177	0.193670937570342	NA	0.193670937570342
178	0.00607543400975175	NA	0.00607543400975175
181	0.612563528888785	0.2785	0.472292910054295
182	0.0128258179725162	0.0515	0.00549723705623497
183	0.264986948501757	NA	0.264986948501757
185	0.202916947238797	0.517	0.341441217240443
186	0.144248543928163	NA	0.144248543928163
187	0.957884328440017	NA	0.957884328440017
189	0.0847221267150458	NA	0.0847221267150458
190	0.554425490029058	NA	0.554425490029058
191	0.123423395183246	NA	0.123423395183246
196	0.505586835225169	NA	0.505586835225169
197	0.254256262683242	NA	0.254256262683242
199	0.467907947689498	NA	0.467907947689498
202	0.312798018323012	NA	0.312798018323012
203	0.0674011087888526	NA	0.0674011087888526
204	0.00760533479641806	NA	0.00760533479641806
205	0.68029867171462	NA	0.68029867171462
207	0.608655815627012	0.1355	0.288266241247651
208	0.0758375473310209	0.1355	0.0573188981199843
210	0.831972731093076	NA	0.831972731093076
211	0.046936071522622	NA	0.046936071522622
212	0.0203760656397367	NA	0.0203760656397367
213	0.0823565324992303	NA	0.0823565324992303
214	0.320484115513078	0.1715	0.214415961969204
215	0.00628557426484909	NA	0.00628557426484909
216	0.0442887862038538	NA	0.0442887862038538
217	0.0645062838064161	NA	0.0645062838064161
218	0.500979729589573	NA	0.500979729589573
219	0.121309333883822	NA	0.121309333883822
220	0.0642150826703397	NA	0.0642150826703397
221	0.532164328495855	NA	0.532164328495855
222	0.194872679613631	NA	0.194872679613631
223	0.66425925489556	NA	0.66425925489556
224	0.392365546396106	NA	0.392365546396106
225	0.176426433967217	NA	0.176426433967217
226	0.0915954952090159	NA	0.0915954952090159
228	0.315794850558862	NA	0.315794850558862
229	0.0833745649933881	NA	0.0833745649933881
230	0.436765850747921	NA	0.436765850747921
231	0.466380654971322	NA	0.466380654971322
238	0.108188018346404	NA	0.108188018346404
239	0.203859923545214	NA	0.203859923545214
240	0.0858660948822083	NA	0.0858660948822083
241	0.526687516656639	NA	0.526687516656639
242	0.222527286925293	NA	0.222527286925293
244	0.987032425202172	NA	0.987032425202172
245	0.454260118646861	NA	0.454260118646861
246	0.365709564747358	NA	0.365709564747358
247	0.118289862780605	NA	0.118289862780605
248	0.031159807427445	NA	0.031159807427445
249	0.00240043663907308	NA	0.00240043663907308
250	0.150244928028567	NA	0.150244928028567
251	0.0992071544541213	NA	0.0992071544541213
257	0.0936992358329535	NA	0.0936992358329535
258	0.0878330097785742	NA	0.0878330097785742
259	0.0151115770902403	NA	0.0151115770902403
262	0.0074780969107782	NA	0.0074780969107782
265	0.201599389217353	NA	0.201599389217353
266	0.164709885770979	NA	0.164709885770979
267	0.194182763754597	0.399	0.275650586567081
268	0.10638897947831	0.1065	0.062093722649744
269	0.0553997960614383	NA	0.0553997960614383
270	0.416337766453067	NA	0.416337766453067
271	0.00125063537267286	NA	0.00125063537267286
272	0.215559137887766	NA	0.215559137887766
273	0.034904191602954	0.2265	0.0461711230387013
274	0.111786465060148	NA	0.111786465060148
275	0.957318560280167	NA	0.957318560280167
280	0.0265174334750728	NA	0.0265174334750728
283	0.649418205083958	NA	0.649418205083958
284	0.196873972715699	NA	0.196873972715699
285	0.00326206939738947	NA	0.00326206939738947
286	0.00711173448535238	NA	0.00711173448535238
287	0.0110499230838323	NA	0.0110499230838323
288	0.00329581767901759	NA	0.00329581767901759
290	0.00633495785545256	NA	0.00633495785545256
291	0.0376193892058457	0.3615	0.0720459835184794
292	0.00560948560657847	0.3615	0.0146019700941812
293	0.0728511592655537	0.3615	0.122114138220093
301	0.207472476049957	NA	0.207472476049957
302	0.11912588196013	NA	0.11912588196013
303	0.252211844341601	NA	0.252211844341601
304	0.872099986967351	NA	0.872099986967351
305	0.866788955569233	NA	0.866788955569233
306	0.2931865641313	NA	0.2931865641313
307	0.187123452165641	NA	0.187123452165641
308	0.0499395465903901	NA	0.0499395465903901
309	0.00791645295071882	NA	0.00791645295071882
310	0.000510867210710986	NA	0.000510867210710986
311	0.150379324273367	NA	0.150379324273367
312	0.77321197415124	NA	0.77321197415124
313	0.477224863052479	NA	0.477224863052479
314	0.00131897641539437	NA	0.00131897641539437
316	0.365130686766817	NA	0.365130686766817
317	0.711106075251209	0.1765	0.385990130225128
318	0.0879948408197072	NA	0.0879948408197072
319	0.915993998028251	NA	0.915993998028251
320	0.208024225618391	NA	0.208024225618391
321	0.151529161837819	NA	0.151529161837819
322	0.99844669099234	0.2265	0.562332104272937
323	0.171407489847929	NA	0.171407489847929
324	0.105601425324328	0.058	0.0373335833529175
325	0.493793916321536	NA	0.493793916321536
326	0.0529972381790713	NA	0.0529972381790713
327	0.00408550439472386	NA	0.00408550439472386
328	0.000964061820620883	NA	0.000964061820620883
329	0.614317851934497	0.0345	0.1028763320346
330	0.587973604464389	0.0345	0.0993537139079195
331	0.0322235149032293	0.0345	0.00867340983071787
332	0.0793109956620577	0.0635	0.0316835103533247
333	0.173672965094759	NA	0.173672965094759
334	0.00164647938715837	NA	0.00164647938715837
335	0.0269262223025001	0.25	0.0403957218448911
336	0.130169561244974	0.25	0.144006967075683
337	0.720558036006743	NA	0.720558036006743
338	0.599241924349953	NA	0.599241924349953
339	0.778533265464754	NA	0.778533265464754
341	0.00173132357201847	NA	0.00173132357201847
343	0.0621017703657901	NA	0.0621017703657901
344	0.0287676809827107	NA	0.0287676809827107
345	0.284966006989375	0.25	0.259438733608104
346	0.0172131380173151	NA	0.0172131380173151
347	0.0535771353333364	NA	0.0535771353333364
348	0.0317591041867901	0.0065	0.0019581373643966
350	0.197156070189265	NA	0.197156070189265
351	0.030334492322744	0.797	0.114170816085414
353	0.388031839872163	NA	0.388031839872163
354	0.0985807016661487	0.451	0.1828710100061
355	0.272083084261912	0.992	0.623397452224762
356	0.505828521847978	0.6355	0.686272438846069
357	0.0359966245233293	NA	0.0359966245233293
358	0.00701556427678638	NA	0.00701556427678638
359	0.0506284755792985	0.6345	0.142570392006011
360	0.369535010819599	NA	0.369535010819599
361	0.00679802129986333	NA	0.00679802129986333
362	0.482201442244336	NA	0.482201442244336
363	0.480215766763032	NA	0.480215766763032
364	0.290954681873606	0.728	0.540560794948457
366	0.115008838120174	NA	0.115008838120174
367	0.135850533099764	0.224	0.136703303727639
368	0.354653067873108	NA	0.354653067873108
369	0.912703409739396	0.1485	0.406408046483403
372	0.00685214664706391	NA	0.00685214664706391
373	0.0275314378917879	NA	0.0275314378917879
374	0.0147913168383847	0.222	0.0220623142849282
375	0.0108871946085167	NA	0.0108871946085167
377	0.0225162653449176	NA	0.0225162653449176
378	0.0236861276792788	NA	0.0236861276792788
379	0.212696499762797	NA	0.212696499762797
381	0.255499419061269	NA	0.255499419061269
382	0.275614535573903	0.2875	0.280133034767402
383	0.0323476562998786	NA	0.0323476562998786
384	0.735211255276025	NA	0.735211255276025
387	0.132419247322144	0.4015	0.209173879469095
388	0.0507691339482553	NA	0.0507691339482553
389	0.149768557192678	NA	0.149768557192678
390	0.0330633387735085	NA	0.0330633387735085
391	0.111525719309536	0.0435	0.030701860166823
392	0.123002928950636	NA	0.123002928950636
393	0.463946970292585	NA	0.463946970292585
394	0.0010200784104636	0.464	0.00409690662480097
395	0.385150166551174	NA	0.385150166551174
396	0.356512491267523	0.3695	0.398749597223172
397	0.254694314859894	0.3695	0.316518247968908
398	0.563248550816463	NA	0.563248550816463
399	0.724375609951319	NA	0.724375609951319
400	0.00218206041606276	NA	0.00218206041606276
401	0.0754693168907492	NA	0.0754693168907492
402	0.669041414544207	NA	0.669041414544207
403	0.0170181176223873	NA	0.0170181176223873
405	0.0155507042553985	0.6605	0.0572971632151659
